Date,Close,Open,High,Low,Volume,변동 %
2019-03-25,13150 ,13400 ,13700 ,13100 ,109.91K,-4.01%
2019-03-26,13750 ,13200 ,13900 ,13200 ,139.11K,4.56%
2019-03-27,14950 ,13800 ,15050 ,13550 ,737.85K,8.73%
2019-03-28,15150 ,14800 ,15650 ,14600 ,456.11K,1.34%
2019-03-29,15400 ,15150 ,15500 ,14900 ,210.19K,1.65%
2019-04-01,15600 ,15350 ,16000 ,14900 ,297.85K,1.30%
2019-04-02,15500 ,15700 ,16000 ,15400 ,210.70K,-0.64%
2019-04-03,15350 ,15350 ,15650 ,15300 ,117.68K,-0.97%
2019-04-04,15500 ,15650 ,15700 ,15250 ,141.06K,0.98%
2019-04-05,16150 ,15500 ,17950 ,15300 ,1.63M,4.19%
2019-04-08,15050 ,16300 ,16450 ,15000 ,619.32K,-6.81%
2019-04-09,15000 ,14950 ,15350 ,14800 ,272.83K,-0.33%
2019-04-10,14900 ,15000 ,15000 ,14450 ,183.29K,-0.67%
2019-04-11,15300 ,15100 ,15500 ,14900 ,237.94K,2.68%
2019-04-12,15400 ,15300 ,15850 ,15050 ,251.77K,0.65%
2019-04-15,15600 ,15450 ,16100 ,15400 ,228.57K,1.30%
2019-04-16,15300 ,15600 ,15750 ,15150 ,156.72K,-1.92%
2019-04-17,15050 ,15200 ,15400 ,14800 ,175.22K,-1.63%
2019-04-18,16150 ,15250 ,17000 ,14950 ,1.03M,7.31%
2019-04-19,17900 ,16400 ,18100 ,16300 ,1.49M,10.84%
2019-04-22,18400 ,17800 ,18750 ,17450 ,621.55K,2.79%
2019-04-23,18000 ,18450 ,18500 ,17800 ,324.65K,-2.17%
2019-04-24,18700 ,18200 ,19300 ,17950 ,658.76K,3.89%
2019-04-25,17200 ,19000 ,19400 ,17100 ,800.94K,-8.02%
2019-04-26,16900 ,17000 ,17550 ,16750 ,349.09K,-1.74%
2019-04-29,18250 ,17200 ,18300 ,17150 ,447.18K,7.99%
2019-04-30,18500 ,18250 ,18700 ,17950 ,373.21K,1.37%
2019-05-02,18550 ,18600 ,19050 ,18000 ,463.38K,0.27%
2019-05-03,18600 ,18550 ,19200 ,18450 ,342.70K,0.27%
2019-05-07,17600 ,19000 ,19150 ,17200 ,846.00K,-5.38%
2019-05-08,17800 ,17350 ,18200 ,17300 ,293.01K,1.14%
2019-05-09,16900 ,18000 ,18000 ,16550 ,409.77K,-5.06%
2019-05-10,17150 ,16900 ,17200 ,16400 ,228.20K,1.48%
2019-05-13,16650 ,17150 ,17250 ,16250 ,178.20K,-2.92%
2019-05-14,16600 ,16200 ,17000 ,16200 ,194.68K,-0.30%
2019-05-15,16800 ,17000 ,17000 ,16450 ,179.96K,1.20%
2019-05-16,15900 ,16500 ,16650 ,15900 ,217.88K,-5.36%
2019-05-17,15900 ,16000 ,16700 ,15800 ,184.55K,0.00%
2019-05-20,16000 ,15750 ,16450 ,15500 ,309.67K,0.63%
2019-05-21,16700 ,16050 ,16950 ,16000 ,290.26K,4.38%
2019-05-22,16600 ,16700 ,16850 ,16000 ,189.89K,-0.60%
2019-05-23,16400 ,17000 ,17000 ,16250 ,153.66K,-1.20%
2019-05-24,16200 ,16300 ,16750 ,15800 ,141.97K,-1.22%
2019-05-27,15750 ,15850 ,16250 ,15550 ,153.93K,-2.78%
2019-05-28,16200 ,15750 ,16400 ,15450 ,247.05K,2.86%
2019-05-29,15700 ,16200 ,16200 ,15550 ,116.83K,-3.09%
2019-05-30,15300 ,15800 ,16100 ,15000 ,218.27K,-2.55%
2019-05-31,16200 ,15150 ,16300 ,15150 ,165.47K,5.88%
2019-06-03,16350 ,16150 ,16450 ,15750 ,103.01K,0.93%
2019-06-04,16300 ,16350 ,16700 ,16150 ,101.44K,-0.31%
2019-06-05,14650 ,16600 ,16650 ,14400 ,641.20K,-10.12%
2019-06-07,15100 ,15100 ,15300 ,14700 ,177.56K,3.07%
2019-06-10,16300 ,16150 ,16550 ,15250 ,620.79K,7.95%
2019-06-11,17050 ,16350 ,17200 ,15900 ,333.52K,4.60%
